abandon	L01 U01	[əˈbændən][sound:abandon.mp3]<br />		<hr /><strong>构词</strong>　【根】a-[ad-, to]+ban[v.＆n.禁令]+-don[v.＆n.], to ban, 禁令下达后的结果→v.放弃；停止做某事；放弃（理智、责任）→v.＆n.放纵<br />	<hr />【<strong>考法 1</strong>】<br />v./n. <strong><ins>放纵：</ins></strong>carefree, freedom from <strong><ins>constraint</ins></strong><br /><strong>例</strong>　abandon oneself to emotion　感情用事<br /><strong>近</strong>　unconstraint, uninhibitedness, unrestraint<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>放弃：</ins></strong>to <strong><ins>withdraw</ins></strong> from often in the face of danger or encroachment<br /><strong>例</strong>　abandon the home　离家<br /><strong>反</strong>　salvage　救援<br />
signal	L23 U03	[ˈsɪɡnəl][sound:signal.mp3]<br />		<hr /><strong>构词</strong>　【根】作为标志的→a.（在重要性、成就方面）非同寻常的；sign[做手势]→v.给出信号<br /><strong>词根</strong>　<strong>sign</strong>　词根和单词sign表示“签字，标志[mark]”。<br /><strong>同根</strong>　consign, designate, resign, signal<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>（在重要性、成就方面）非同寻常的：</ins></strong><strong><ins>standing above</ins></strong> others in rank, importance, or achievement<br /><strong>例</strong>　The Louisiana Purchase is cited by many historians as one of the most signal events in American history．从法国手中购买路易斯安那被许多历史学家认为是美国历史上最重要的事件之一。<br />　　a signal feat　一项非同寻常的伟业<br /><strong>近</strong>　distinguished, illustrious, luminous, notable, noteworthy, outstanding, preeminent, prestigious, redoubtable<br /><strong>反</strong>　average, inferior, mediocre　一般的，低下的；insignificant, minor, unimportant　不重要的<br /><hr />【<strong>考法 2</strong>】<br />v. <strong><ins>给出信号：</ins></strong>to <strong><ins>direct or notify</ins></strong> by a movement or gesture<br /><strong>例</strong>　They signaled at me to come over．他们向我打招呼要我到他们去。<br />　　A lock on the suit-case might signal that there's something of value inside．手提箱上的锁可能意味着里面有贵重物品。<br /><strong>近</strong>　beckon, flag, gesture, wave<br />
simpleton	L23 U03	[ˈsɪmpltən][sound:simpleton.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>（缺乏常识的）笨蛋：</ins></strong>a person <strong><ins>lacking in common sense</ins></strong>; a stupid person<br /><strong>例</strong>　His silly antics at office parties have earned him a reputation as a simpleton．他在办公室聚会上愚蠢古怪的行为让他被人认为是个蠢货。<br /><strong>近</strong>　airhead, dolt, donkey, dullard, fool, idiot, moron<br /><strong>反</strong>　intellectual, sage, wit　智者；genius, prodigy　天才<br />
simulate	L23 U03	[ˈsɪmjuleɪt][sound:simulate.mp3]<br />		<hr /><strong>构词</strong>　【根】sim[like]+ul+-ate[v.], (look, feel, or behave) like (something)→vt.假装，模仿；模拟<br /><strong>词根</strong>　<strong>sim</strong>　词根sim表示like[像]，与same[相同]同源。similar[相似的]来自词根sim。<br /><strong>同根</strong>　simile, simulate<br />	<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>假装，模仿：</ins></strong>to have or <strong><ins>take on the appearance</ins></strong>, form, or sound of: imitate<br /><strong>例</strong>　cosmetics that simulate a suntan　用来模仿晒黑效果的化妆品<br /><strong>近</strong>　act, affect, assume, counterfeit, dissemble, fake, imitate, pretend, profess, sham<br />
sinecure	L23 U03	[ˈsaɪnɪkjʊr][sound:sinecure.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>拿钱不干事的职务；闲差事：</ins></strong>an office or position that <strong><ins>requires little or no work</ins></strong> and that usually provides an income<br /><strong>例</strong>　capture a sinecure　获得了一个美差<br /><strong>反</strong>　drudge, drudgery, moil, sweat, toil, travail　艰苦的工作，苦活<br />
sinew	L23 U03	[ˈsɪnjuː][sound:sinew.mp3]<br />		<hr /><strong>构词</strong>　【联】sin[sin函数]+(n) ew[新的]，新[new]的、处于萌芽的事物，像sin函数不断跳动[sin]→n.活力，力量<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>活力，力量：</ins></strong><strong><ins>vigorous strength</ins></strong>; muscular power<br /><strong>例</strong>　Money is the sinew of love as well as war．爱情和战争都要用金钱来保证。<br /><strong>近</strong>　energy, firepower, force, horsepower, might, muscle, potency, power, puissance, strength, vigor<br /><strong>反</strong>　impotence, impotency, powerlessness, weakness　无力，虚弱<br />
singe	L23 U03	[sɪndʒ][sound:singe.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>轻微烧焦：</ins></strong>to <strong><ins>burn superficially</ins></strong> or lightly<br /><strong>例</strong>　The iron is too hot, and you'll singe the nightdress．熨斗太烫了，你会把睡衣烫坏的。<br /><strong>近</strong>　char, scorch, sear<br /><strong>反</strong>　incinerate　烧成灰烬<br />
sacrosanct	L23 U04	[ˈsækroʊsæŋkt][sound:sacrosanct.mp3]<br />		<hr /><strong>构词</strong>　【根】sacr (o) [sacred]+sanct[sacred], （sacr和sanct都是表示“神圣”的词根）→a.极为神圣的，不可侵犯的<br /><strong>词根</strong>　<strong>sacr, sanct</strong>　词根sacr和sanct都表示“holy, sacred”[神的，神圣的]。sacrifice[n.牺牲]原指“为神[sacr]做[fic]的（牺牲）”，古代拜神时需要杀“牲口”（甚至是人）。saint[n.圣人a.神圣的]（音似“圣徒”）与词根sanct同源。<br /><strong>同根</strong>　sacrosanct, desecrate, execrate, sanction, sanctify, sanctimonious, sanctuary<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>极为神圣的，不可侵犯的：</ins></strong><strong><ins>most sacred</ins></strong> or holy<br /><strong>例</strong>　Freedom of the press is sacrosanct．出版自由是神圣的。<br /><strong>近</strong>　hallowed, holy, inviolable, sacred, unassailable, untouchable<br /><strong>反</strong>　blasphemous, irreverent, profane, sacrilegious　亵渎的<br />
scourge	L23 U04	[skзːrdʒ][sound:scourge.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>祸害：</ins></strong>a <strong><ins>source of harm</ins></strong> or misfortune<br /><strong>例</strong>　The sheer ubiquity of food seems to be the scourge of humanity, as evidenced by the obesity epidemic．无所不在的食品似乎要成为人类的祸害了，这一点可以从肥胖病的泛滥得以佐证。<br /><strong>近</strong>　affliction, bane, curse, nemesis<br /><strong>反</strong>　benefit, blessing, boon, felicity, godsend, manna, windfall　恩赐，福音<br />
scruple	L23 U04	[ˈskruːpl][sound:scruple.mp3]<br />		<hr /><strong>构词</strong>　【联】（道德上的）顾虑→n.（良心上的）不安<br /><strong>词根</strong>　<strong>scru</strong>　可以将scru按照读音联想成“四顾”，表示“（顾虑地）看”。<br /><strong>同根</strong>　scruple, scrupulous, scrutable, scrutinize<br />	<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>（良心上的）不安：</ins></strong>an <strong><ins>uneasy feeling about the rightness</ins></strong> of what one is doing or going to do<br /><strong>例</strong>　The survey showed that many students had few scruples about cheating on papers or exams．调查显示，很多学生对于在论文中或考试时作弊没有丝毫的愧疚。<br /><strong>近</strong>　compunction, misgiving<br /><strong>反</strong>　assurance, certainty, certitude, confidence, conviction, sureness　确信<br />
sinuous	L23 U04	[ˈsɪnjuəs][sound:sinuous.mp3]<br />		<hr /><strong>构词</strong>　【联】sin[sin函数]+u+-ous[a.], 路线像sin函数→a.蜿蜒的，迂回的<br />	<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>蜿蜒的，迂回的：</ins></strong>marked by a long series of <strong><ins>irregular curves</ins></strong>; not direct<br /><strong>例</strong>　The river flowed in a sinuous path through the lush valley．蜿蜒曲折的河流流过茂密的山谷。<br />　　Thirty-year-old men are novel, rich in content and sinuous in plots．三十岁的男人是小说，内容丰富，情节曲折。<br /><strong>近</strong>　bending, curling, curved, curving, devious, serpentine, tortuous, twisted, winding, windy<br /><strong>反</strong>　straight, straightaway　直的，直接的<br />
skimp	L23 U04	[skɪmp][sound:skimp.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>缺乏的，不足的：</ins></strong><strong><ins>less plentiful</ins></strong> than what is normal, necessary, or desirable<br /><strong>例</strong>　The dieter complained about skimp meals that were served at the fat farm．这个节食者抱怨说减肥疗养地的伙食少得可怜。<br /><strong>近</strong>　exiguous, meager, niggardly, poor, scant, scanty, scarce, skimpy, slender, slim, sparing, sparse, stingy<br /><strong>反</strong>　abundant, ample, bountiful, copious, generous, liberal, plenteous, plentiful　大量的，丰富的<br /><hr />【<strong>考法 2</strong>】<br />vi. <strong><ins>节省花费，吝啬：</ins></strong>to <strong><ins>give insufficient</ins></strong> or barely sufficient attention or effort to or <strong><ins>funds</ins></strong> for<br /><strong>例</strong>　skimp on security　不注意安全<br /><strong>近</strong>　pinch, save, scrimp, spare, stint<br /><strong>反</strong>　dissipate, lavish, prodigalize, squander, waste　浪费，挥霍<br />
skirt	L23 U04	[skзːrt][sound:skirt.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>绕行，避开：</ins></strong>to <strong><ins>go around</ins></strong> or keep away from in order to avoid danger or discovery<br /><strong>例</strong>　skirt the construction zone　绕开建筑工地<br />　　The new bill would make it harder for companies to skirt environmental regulations．新的规定会增加公司逃脱环境监管的难度。<br /><strong>近</strong>　bypass, circumvent, detour, shortcut, sidestep<br /><strong>反</strong>　pursue, seek　追寻<br />
slack	L23 U04	[slæk][sound:slack.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>松弛的：</ins></strong><strong><ins>not tightly fastened</ins></strong>, tied, or stretched<br /><strong>例</strong>　slack rope　松弛的绳子<br /><strong>近</strong>　insecure, lax, loosened, relaxed, slackened, unsecured<br /><strong>反</strong>　taut, tense, tight　拉紧的<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>疏忽的，大意的：</ins></strong><strong><ins>failing to give proper care</ins></strong> and attention<br /><strong>例</strong>　This building contractor is known mainly for his firm's slack workmanship and slipshod construction．这个建筑承包商因其公司不负责任的粗糙做工和马虎建造的建筑物而臭名远扬。<br /><strong>近</strong>　careless, derelict, disregardful, lax, lazy, neglectful, neglecting, negligent, remiss<br /><strong>反</strong>　attentive, careful, conscientious　专心的；alert, heedful, mindful, observant, regardful, vigilant, wary, watchful　警惕的<br />
slake	L23 U04	[sleɪk][sound:slake.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>使满足：</ins></strong>to <strong><ins>satisfy</ins></strong> (a craving); quench<br /><strong>例</strong>　Mountain climbing has largely slaked my desire for adventure．登山很大程度上满足了我对探险的渴望。<br /><strong>近</strong>　assuage, quench, sate, satiate, satisfy<br /><strong>反</strong>　tantalize, tease　诱惑，挑逗；arouse, excite, pique, stimulate　激起，唤起<br />
slant	L23 U04	[slænt][sound:slant.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>（看待问题、思考的）角度，看法：</ins></strong>a <strong><ins>way of looking</ins></strong> at or thinking about something<br /><strong>例</strong>　an interesting slant on the problem of underage drinking　在青少年饮酒这个问题上一个有趣的视角<br /><strong>近</strong>　angle, outlook, perspective, standpoint, viewpoint<br /><hr />【<strong>考法 2</strong>】<br />a. <strong><ins>倾斜的：</ins></strong>running in a <strong><ins>slanting direction</ins></strong><br /><strong>例</strong>　The computer keyboard has a slightly slant surface so that typing is more comfortable for the wrists．电脑键盘有一个微小的倾斜角，因此打字不会使手腕感到不适。<br /><strong>近</strong>　canted, graded, inclined, leaning, listing, oblique, pitched, raked, slanted, sloping, tilting<br /><strong>反</strong>　perpendicular, plumb, vertical　垂直的；horizontal, level　水平的<br />
snag	L23 U04	[snæɡ][sound:snag.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>障碍：</ins></strong>a danger or <strong><ins>difficulty</ins></strong> that is hidden or not easily recognized<br /><strong>例</strong>　hit a snag　碰到一个小困难<br /><strong>反</strong>　hitch, catch-22, gotcha, pitfall<br />
slate	L23 U05	[sleɪt][sound:slate.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />vt. <strong><ins>列入名单，计划，安排：</ins></strong>to <strong><ins>put</ins></strong> (someone or something) <strong><ins>on a list</ins></strong><br /><strong>例</strong>　You've been slated for a three o'clock interview．你的面试被安排在三点。<br /><strong>近</strong>　catalog, enroll, enter, index, inscribe, record, register, schedule<br /><strong>反</strong>　delete, erase　删除，除名<br />
slew	L23 U05	[sluː][sound:slew.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />n. <strong><ins>大量，许多：</ins></strong>a <strong><ins>large amount</ins></strong> or number<br /><strong>例</strong>　donate a slew of books to the university library　向大学图书馆捐赠了大量的书籍<br /><strong>近</strong>　abundance, bundle, dozen, multiplicity, myriad, plentitude, profusion, scad, shipload, volume, wealth<br /><strong>反</strong>　ace, bit, driblet, glimmer, handful, hint, mite, mouthful, nip, ounce, pittance, sprinkle, trace　少量<br />
slight	L23 U05	[slaɪt][sound:slight.mp3]<br />			<hr />【<strong>考法 1</strong>】<br />a. <strong><ins>不重要的：</ins></strong><strong><ins>deficient in weight</ins></strong>, importance<br /><strong>例</strong>　a slight comedy that did nothing to further her career　一个对她事业发展没有任何帮助的小喜剧<br /><strong>近</strong>　fiddling, frivolous, inconsequential, inconsiderable, insignificant, little, minor, minute, nugatory, trifling, trivial<br /><strong>反</strong>　consequential, eventful, important, meaningful, momentous, significant, substantial, weighty　重要的<br /><hr />【<strong>考法 2</strong>】<br />vt. <strong><ins>轻蔑，看不起：</ins></strong>to <strong><ins>treat with disdain</ins></strong> or indifference<br /><strong>例</strong>　Those snobbish music critics slight any style of music．那帮自命不凡的音乐评论家看不起所有音乐。<br /><strong>近</strong>　contemn, disdain, disrespect, snub, look down<br /><strong>反</strong>　esteem, honor, respect, revere, venerate　尊敬<br /><hr />【<strong>考法 3</strong>】<br />vt. <strong><ins>忽略，疏忽：</ins></strong>to <strong><ins>fail to give proper attention</ins></strong> to<br /><strong>例</strong>　She slighted several major authors in her survey of 20th-century fiction．她在调查20世纪小说时忽略了几个重要的作家。<br /><strong>近</strong>　bypass, disregard, ignore, neglect, overlook, overpass, shrug, slur<br /><strong>反</strong>　attend, heed, mind　留心，注意<br />
